input_text,target_label,target_output
"Time management problems are ruining my study routine, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and exams are near, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I keep procrastinating and exams are getting closer, and exams are near, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Study pressure is affecting my confidence, and exams are near, and I feel confused about what to choose",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Relationship problems are affecting my studies badly, and exams are near, and I want a practical solution",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I cannot balance studies with daily responsibilities, and exams are near, while I worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I want to improve my grades but feel mentally blocked, and exams are near, and this pressure is affecting my peace of mind",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
